epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2646,1.18308,2.89572,1.25183,0.03204,0.75638,0.26473,0.16793,1.39746,3.34937,1.38748,0.000327381,0.000327381,0.000327381
2,40.1278,0.9984,1.35022,1.13839,0.56402,0.52327,0.58276,0.4259,1.09083,2.12199,1.14815,0.000656354,0.000656354,0.000656354
3,47.7433,0.95703,1.1041,1.09046,0.57805,0.67029,0.65049,0.48416,0.99837,1.41801,1.0671,0.000980926,0.000980926,0.000980926
4,55.3632,0.94773,1.0493,1.08084,0.50486,0.51098,0.51271,0.36155,0.98509,1.56825,1.09032,0.0009802,0.0009802,0.0009802
5,63.1962,0.91709,0.97968,1.06267,0.61825,0.72568,0.71175,0.54107,0.9711,1.21084,1.05292,0.0009736,0.0009736,0.0009736
6,70.8173,0.90486,0.91263,1.05262,0.79705,0.70078,0.82856,0.63489,0.90598,1.03062,1.01808,0.000967,0.000967,0.000967
7,78.4405,0.88611,0.86563,1.03789,0.76752,0.75936,0.83118,0.66441,0.86601,0.9208,0.99832,0.0009604,0.0009604,0.0009604
8,85.9263,0.87197,0.82208,1.03436,0.81377,0.85055,0.86106,0.67631,0.86496,0.83467,1.00226,0.0009538,0.0009538,0.0009538
9,93.4141,0.86238,0.79593,1.0319,0.80703,0.78111,0.84063,0.66261,0.86866,0.89929,0.99536,0.0009472,0.0009472,0.0009472
10,101.124,0.86107,0.74603,1.02147,0.77709,0.75881,0.82635,0.65107,0.84909,0.85406,0.98424,0.0009406,0.0009406,0.0009406
11,108.548,0.85218,0.74149,1.02382,0.75532,0.80179,0.84179,0.65187,0.87647,0.84056,0.9944,0.000934,0.000934,0.000934
12,116.162,0.83939,0.72405,1.02044,0.78256,0.77121,0.83482,0.66639,0.84517,0.87069,1.00332,0.0009274,0.0009274,0.0009274
13,123.871,0.83322,0.69289,1.01877,0.78717,0.74033,0.86196,0.69053,0.84913,0.82128,0.98796,0.0009208,0.0009208,0.0009208
14,131.287,0.84084,0.68959,1.02119,0.83839,0.83635,0.87717,0.69626,0.85163,0.72128,0.98238,0.0009142,0.0009142,0.0009142
15,138.987,0.82036,0.6824,1.01345,0.78632,0.77413,0.84668,0.66093,0.87791,0.84896,1.021,0.0009076,0.0009076,0.0009076
16,146.475,0.82055,0.6775,1.01151,0.82768,0.79846,0.87587,0.7036,0.84905,0.72811,0.98593,0.000901,0.000901,0.000901
17,153.944,0.81821,0.64797,1.0043,0.82369,0.82897,0.87533,0.69573,0.86138,0.71777,0.98759,0.0008944,0.0008944,0.0008944
18,161.425,0.80106,0.62821,1.00246,0.66189,0.85651,0.83574,0.66047,0.8359,0.75763,0.97739,0.0008878,0.0008878,0.0008878
19,168.971,0.80208,0.6129,1.00329,0.81111,0.82471,0.89535,0.71735,0.83818,0.6986,0.97845,0.0008812,0.0008812,0.0008812
20,176.614,0.80044,0.60139,1.00308,0.83718,0.82266,0.8754,0.70605,0.84011,0.69176,0.98143,0.0008746,0.0008746,0.0008746
21,184.339,0.78623,0.58578,0.99811,0.82419,0.78127,0.86602,0.69118,0.87027,0.74859,0.98492,0.000868,0.000868,0.000868
22,191.913,0.78358,0.59126,0.99565,0.75967,0.83495,0.87184,0.70306,0.83783,0.8133,0.98579,0.0008614,0.0008614,0.0008614
23,199.441,0.79256,0.58366,0.99942,0.78571,0.79909,0.87163,0.69794,0.84861,0.70754,0.97929,0.0008548,0.0008548,0.0008548
24,206.947,0.78297,0.57933,0.9915,0.76796,0.78346,0.86423,0.6944,0.83319,0.77502,0.97534,0.0008482,0.0008482,0.0008482
25,214.348,0.78245,0.58313,0.99053,0.69632,0.80893,0.8342,0.67518,0.835,0.79482,0.97167,0.0008416,0.0008416,0.0008416
26,222.065,0.7742,0.55935,0.98864,0.76006,0.83992,0.85371,0.68416,0.83253,0.71484,0.97188,0.000835,0.000835,0.000835
27,229.473,0.76891,0.54629,0.98946,0.77302,0.8717,0.89263,0.72293,0.84197,0.67398,0.9741,0.0008284,0.0008284,0.0008284
28,237.188,0.75808,0.54521,0.98158,0.81557,0.78897,0.86992,0.70221,0.83629,0.69595,0.97573,0.0008218,0.0008218,0.0008218
29,244.859,0.76,0.5465,0.9859,0.81275,0.78723,0.84855,0.68419,0.87388,0.70035,0.99313,0.0008152,0.0008152,0.0008152
30,252.241,0.7508,0.5301,0.98152,0.81974,0.79786,0.86153,0.68623,0.83518,0.69123,0.97538,0.0008086,0.0008086,0.0008086
31,259.857,0.74579,0.52022,0.98221,0.78167,0.87381,0.87737,0.70548,0.83309,0.6665,0.96946,0.000802,0.000802,0.000802
32,267.364,0.75019,0.53102,0.98158,0.81271,0.8615,0.89165,0.71702,0.84116,0.65711,0.98386,0.0007954,0.0007954,0.0007954
33,274.88,0.74361,0.51645,0.97604,0.78689,0.84097,0.88654,0.71897,0.82881,0.7099,0.97061,0.0007888,0.0007888,0.0007888
