degradacion,eje,nivel,mAP50,mAP50_95,precision,recall,mAP_palet_bueno,mAP_palet_roto,mAP_paquete_emb_correct_dim_correct,mAP_paquete_emb_correct_dim_incorrect,mAP_paquete_emb_incorrect_dim_correct,mAP_paquete_emb_incorrect_dim_incorrect
brillo,factor de brillo,1.0,0.8597,0.6815,0.8435,0.8235,0.642,0.6135,0.6719,0.7676,0.6183,0.7757
brillo,factor de brillo,0.8,0.8566,0.6773,0.8419,0.8203,0.643,0.6159,0.6672,0.7648,0.5957,0.7773
brillo,factor de brillo,0.6,0.8567,0.6746,0.8329,0.8318,0.643,0.6175,0.6677,0.7628,0.5866,0.7698
brillo,factor de brillo,0.4,0.8534,0.6698,0.8267,0.8144,0.6417,0.6171,0.659,0.7565,0.5745,0.7697
brillo,factor de brillo,1.2,0.8627,0.6841,0.8396,0.8362,0.6437,0.6142,0.6803,0.7688,0.6277,0.7697
brillo,factor de brillo,1.5,0.8543,0.6703,0.8034,0.8386,0.6402,0.6099,0.6621,0.7439,0.6041,0.7618
contraste,factor de contraste,1.0,0.8597,0.6815,0.8435,0.8235,0.642,0.6135,0.6719,0.7676,0.6183,0.7757
contraste,factor de contraste,0.8,0.8578,0.6785,0.834,0.8212,0.6385,0.6082,0.6755,0.7692,0.6046,0.7752
contraste,factor de contraste,0.6,0.8574,0.6787,0.804,0.8375,0.6323,0.6036,0.6743,0.7754,0.6075,0.7792
contraste,factor de contraste,0.4,0.8515,0.6708,0.8076,0.7936,0.6134,0.5846,0.6662,0.7775,0.605,0.778
ruido,sigma,0.0,0.8597,0.6815,0.8435,0.8235,0.642,0.6135,0.6719,0.7676,0.6183,0.7757
ruido,sigma,5.0,0.8575,0.6784,0.8421,0.82,0.6452,0.6126,0.6674,0.77,0.606,0.7694
ruido,sigma,10.0,0.8387,0.6586,0.8028,0.8177,0.6379,0.6099,0.6563,0.7268,0.577,0.7438
ruido,sigma,20.0,0.795,0.6184,0.7883,0.7649,0.6273,0.6015,0.6197,0.6429,0.5382,0.6809
ruido,sigma,35.0,0.6671,0.4904,0.6502,0.6805,0.589,0.5401,0.5072,0.3341,0.4609,0.5113
desenfoque,kernel,1.0,0.8597,0.6815,0.8435,0.8235,0.642,0.6135,0.6719,0.7676,0.6183,0.7757
desenfoque,kernel,3.0,0.8525,0.6709,0.8293,0.828,0.6373,0.6174,0.6564,0.7728,0.5759,0.7653
desenfoque,kernel,5.0,0.8441,0.6649,0.8394,0.8032,0.6287,0.6114,0.644,0.7848,0.5609,0.7597
desenfoque,kernel,9.0,0.8306,0.6458,0.8242,0.7656,0.6058,0.6064,0.6428,0.7797,0.5201,0.7201
desenfoque,kernel,15.0,0.8106,0.6213,0.7939,0.7224,0.5635,0.5817,0.6142,0.7532,0.519,0.6962
movimiento,kernel (px),1.0,0.8597,0.6815,0.8435,0.8235,0.642,0.6135,0.6719,0.7676,0.6183,0.7757
movimiento,kernel (px),5.0,0.8111,0.6423,0.7622,0.7586,0.5813,0.5809,0.5695,0.7737,0.5579,0.7902
movimiento,kernel (px),11.0,0.5957,0.4361,0.6589,0.5425,0.4187,0.4528,0.2711,0.646,0.248,0.5802
movimiento,kernel (px),21.0,0.2174,0.1338,0.2541,0.3165,0.2249,0.1791,0.0681,0.1583,0.0027,0.17
movimiento,kernel (px),31.0,0.0651,0.0344,0.5821,0.0742,0.1179,0.0333,0.016,0.0335,0.0,0.0059
compresion,calidad JPEG,100.0,0.8595,0.6817,0.8392,0.8255,0.6418,0.6126,0.6723,0.7695,0.6182,0.7761
compresion,calidad JPEG,70.0,0.856,0.6784,0.8362,0.8226,0.6426,0.6115,0.6693,0.7664,0.6132,0.7675
compresion,calidad JPEG,50.0,0.8512,0.6711,0.8263,0.8198,0.6412,0.6124,0.671,0.7627,0.58,0.7591
compresion,calidad JPEG,30.0,0.8535,0.6743,0.8372,0.8135,0.6426,0.614,0.6623,0.7562,0.6113,0.7596
compresion,calidad JPEG,15.0,0.8485,0.6676,0.8415,0.8076,0.6355,0.6185,0.6455,0.7524,0.6092,0.7445
